pattern_id	name	proposed_existing_experiment	overlap_type	primary_gap_owner	routing_allowed	experiment_contract_path	proposal_path	contract_sha256	objective_overlap	input_overlap	output_overlap	permission_overlap	non_goal_conflict	evidence_strength	reviewer_notes
PAT-001	Spec Aligner	MAD-SKILL-011	partial	MAD-SKILL-012-candidate	false	candidate-intake/base-experiment-contracts/MAD-SKILL-011.json	sandbox/skill-incubator/experiments/MAD-SKILL-011/proposal.md	60e04f171dd7f611936c10b611088a50c356cb2343032b0841db6c8bf1b59865	partial	partial	partial	aligned	none	moderate	Traceability requires a candidate pipeline and cannot route to the locked compiler.
PAT-002	PR Narrator	MAD-SKILL-011	partial	MAD-SKILL-012-candidate	false	candidate-intake/base-experiment-contracts/MAD-SKILL-011.json	sandbox/skill-incubator/experiments/MAD-SKILL-011/proposal.md	60e04f171dd7f611936c10b611088a50c356cb2343032b0841db6c8bf1b59865	partial	partial	partial	aligned	none	moderate	PR narrative provenance is outside the compiler contract.
PAT-003	Review Router	MAD-SKILL-008	full	MAD-SKILL-008	true	candidate-intake/base-experiment-contracts/MAD-SKILL-008.json	sandbox/skill-incubator/experiments/MAD-SKILL-008/proposal.md	fe07f5d52267614b03b172aaacf2c55e1f1ac32e4cd061db0333a09402f0cf6c	aligned	aligned	aligned	aligned	none	strong	Suggestion only; the locked target remains non-executable without customer approval.
PAT-004	Decision Log	MAD-SKILL-006	partial	MAD-SKILL-012-candidate	false	candidate-intake/base-experiment-contracts/MAD-SKILL-006.json	sandbox/skill-incubator/experiments/MAD-SKILL-006/proposal.md	a2b4067a6c24ac9e457e5611f9cac3bc59b51b6140686bb48ec1fe352d2694d2	partial	partial	partial	aligned	none	moderate	Decision lifecycle does not establish durable provenance or supersession.
PAT-005	Issue Gardener	MAD-SKILL-011	partial	MAD-SKILL-012-candidate	false	candidate-intake/base-experiment-contracts/MAD-SKILL-011.json	sandbox/skill-incubator/experiments/MAD-SKILL-011/proposal.md	60e04f171dd7f611936c10b611088a50c356cb2343032b0841db6c8bf1b59865	partial	partial	partial	aligned	none	moderate	Issue identifiers and orphan detection are uncovered.
PAT-006	Design Sync	MAD-SKILL-010	partial	MAD-SKILL-013-candidate	false	candidate-intake/base-experiment-contracts/MAD-SKILL-010.json	sandbox/skill-incubator/experiments/MAD-SKILL-010/proposal.md	1dc16a41a72cc14c0bf454639df105fa8e825d35df98657f2c4b473a7ce13850	partial	partial	partial	aligned	none	weak	Privacy-gated demonstrations do not provide visual QA.
PAT-007	Security Buddy	MAD-SKILL-011	full	MAD-SKILL-011	true	candidate-intake/base-experiment-contracts/MAD-SKILL-011.json	sandbox/skill-incubator/experiments/MAD-SKILL-011/proposal.md	60e04f171dd7f611936c10b611088a50c356cb2343032b0841db6c8bf1b59865	aligned	aligned	aligned	aligned	none	strong	Suggestion only; the locked compiler remains non-executable without customer approval.
PAT-008	Knowledge Base	MAD-SKILL-003	partial	unresolved	false	candidate-intake/base-experiment-contracts/MAD-SKILL-003.json	sandbox/skill-incubator/experiments/MAD-SKILL-003/proposal.md	c8429190812542fada3fb531c6404c032afa65b409fa3d3c3efa913035568f7e	partial	partial	partial	aligned	none	moderate	No retrieval runtime or lifecycle is covered.
PAT-009	Onboarding Map	MAD-SKILL-009	partial	unresolved	false	candidate-intake/base-experiment-contracts/MAD-SKILL-009.json	sandbox/skill-incubator/experiments/MAD-SKILL-009/proposal.md	346754b861dda462f179775a201e10c1270f9b3540edd3ac8b88a80a81134fd4	partial	partial	partial	aligned	none	weak	Diagram output is not onboarding validation.
PAT-010	Retrospective Bot	MAD-SKILL-006	partial	MAD-SKILL-012-candidate	false	candidate-intake/base-experiment-contracts/MAD-SKILL-006.json	sandbox/skill-incubator/experiments/MAD-SKILL-006/proposal.md	a2b4067a6c24ac9e457e5611f9cac3bc59b51b6140686bb48ec1fe352d2694d2	partial	partial	partial	aligned	none	moderate	Release-linked retrospective provenance is uncovered.
PAT-011	Agent Swarm	MAD-SKILL-005	partial	unresolved	false	candidate-intake/base-experiment-contracts/MAD-SKILL-005.json	sandbox/skill-incubator/experiments/MAD-SKILL-005/proposal.md	922f229df1f85a6dc1ddf8ed61ad19e3f18b4a741972de4c10c422517fd2a37d	partial	partial	partial	aligned	none	moderate	The proposal deliberately excludes agent execution.
PAT-012	Playwright Scout	MAD-SKILL-010	partial	MAD-SKILL-013-candidate	false	candidate-intake/base-experiment-contracts/MAD-SKILL-010.json	sandbox/skill-incubator/experiments/MAD-SKILL-010/proposal.md	1dc16a41a72cc14c0bf454639df105fa8e825d35df98657f2c4b473a7ce13850	partial	partial	partial	aligned	none	weak	Browser QA is a candidate-only gap and has no route.
PAT-013	Terminal Sense	MAD-SKILL-002	partial	unresolved	false	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	sandbox/skill-incubator/experiments/MAD-SKILL-002/proposal.md	93db9e78329651baba88edf86be3b768819c770840722b3abd9cdd6e6d98ce44	partial	partial	partial	aligned	none	moderate	The contract is not a terminal observer or controller.
PAT-014	CI Fixer	MAD-SKILL-002	partial	MAD-SKILL-014-candidate	false	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	sandbox/skill-incubator/experiments/MAD-SKILL-002/proposal.md	93db9e78329651baba88edf86be3b768819c770840722b3abd9cdd6e6d98ce44	partial	partial	partial	aligned	none	moderate	Scheduled repair governance is candidate-only.
PAT-015	Release Notes	MAD-SKILL-011	partial	MAD-SKILL-012-candidate	false	candidate-intake/base-experiment-contracts/MAD-SKILL-011.json	sandbox/skill-incubator/experiments/MAD-SKILL-011/proposal.md	60e04f171dd7f611936c10b611088a50c356cb2343032b0841db6c8bf1b59865	partial	partial	partial	aligned	none	moderate	Release-note provenance is a candidate-only gap.
PAT-016	Data Cleaner	MAD-SKILL-002	partial	MAD-SKILL-014-candidate	false	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	sandbox/skill-incubator/experiments/MAD-SKILL-002/proposal.md	93db9e78329651baba88edf86be3b768819c770840722b3abd9cdd6e6d98ce44	partial	partial	partial	aligned	none	moderate	Scheduled data-action governance is candidate-only.
PAT-017	Screenshot QA	MAD-SKILL-010	partial	MAD-SKILL-013-candidate	false	candidate-intake/base-experiment-contracts/MAD-SKILL-010.json	sandbox/skill-incubator/experiments/MAD-SKILL-010/proposal.md	1dc16a41a72cc14c0bf454639df105fa8e825d35df98657f2c4b473a7ce13850	partial	partial	partial	aligned	none	weak	Screenshot baselines and visual differences are uncovered.
PAT-018	Changelog Miner	MAD-SKILL-006	partial	MAD-SKILL-012-candidate	false	candidate-intake/base-experiment-contracts/MAD-SKILL-006.json	sandbox/skill-incubator/experiments/MAD-SKILL-006/proposal.md	a2b4067a6c24ac9e457e5611f9cac3bc59b51b6140686bb48ec1fe352d2694d2	partial	partial	partial	aligned	none	moderate	Changelog provenance is a candidate-only gap.
PAT-019	Dependency Guard	MAD-SKILL-002	partial	MAD-SKILL-014-candidate	false	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	sandbox/skill-incubator/experiments/MAD-SKILL-002/proposal.md	93db9e78329651baba88edf86be3b768819c770840722b3abd9cdd6e6d98ce44	partial	partial	partial	aligned	none	moderate	Scheduled dependency governance is candidate-only.
PAT-020	Nightly Runner		none	MAD-SKILL-014-candidate	false	not_applicable	candidate-intake/new-experiment-candidates/MAD-SKILL-014-candidate.md	not_applicable	none	none	none	none	none	insufficient	No registered scheduler controller exists.
