pattern_id	name	capability_family	existing_experiment	overlap_score	overlap_type	primary_gap_owner	routing_allowed	unique_gap	proposed_action	rationale	evidence_contract	evidence_strength	source_status
PAT-001	Spec Aligner	FAMILY-002	MAD-SKILL-011	70	partial	MAD-SKILL-012-candidate	false	End-to-end specification provenance	candidate_new_experiment	The compiler gate lacks spec-to-release traceability.	candidate-intake/base-experiment-contracts/MAD-SKILL-011.json	moderate	customer_provided_unverified
PAT-002	PR Narrator	FAMILY-002	MAD-SKILL-011	65	partial	MAD-SKILL-012-candidate	false	PR narrative provenance	candidate_new_experiment	Narration is only an artifact and has no proven release provenance chain.	candidate-intake/base-experiment-contracts/MAD-SKILL-011.json	moderate	customer_provided_unverified
PAT-003	Review Router	FAMILY-001	MAD-SKILL-008	90	full	MAD-SKILL-008	true	No identified design gap	map_to_existing_experiment	Recommendation-only routing and progressive disclosure are explicit in the proposal.	candidate-intake/base-experiment-contracts/MAD-SKILL-008.json	strong	customer_provided_unverified
PAT-004	Decision Log	FAMILY-002	MAD-SKILL-006	55	partial	MAD-SKILL-012-candidate	false	Decision provenance and supersession	candidate_new_experiment	A redacted feedback loop is not a stable decision-to-release traceability model.	candidate-intake/base-experiment-contracts/MAD-SKILL-006.json	moderate	customer_provided_unverified
PAT-005	Issue Gardener	FAMILY-002	MAD-SKILL-011	60	partial	MAD-SKILL-012-candidate	false	Stable issue-to-evidence identifiers	candidate_new_experiment	The compiler gate lacks lifecycle IDs and orphan detection.	candidate-intake/base-experiment-contracts/MAD-SKILL-011.json	moderate	customer_provided_unverified
PAT-006	Design Sync	FAMILY-006	MAD-SKILL-010	50	partial	MAD-SKILL-013-candidate	false	Visual review evidence	candidate_new_experiment	A privacy-gated demonstration outline is not browser or visual QA.	candidate-intake/base-experiment-contracts/MAD-SKILL-010.json	weak	customer_provided_unverified
PAT-007	Security Buddy	FAMILY-003	MAD-SKILL-011	75	full	MAD-SKILL-011	true	No identified design gap	map_to_existing_experiment	Threat permission and data-flow review are explicit compiler evidence.	candidate-intake/base-experiment-contracts/MAD-SKILL-011.json	strong	customer_provided_unverified
PAT-008	Knowledge Base	FAMILY-004	MAD-SKILL-003	60	partial	unresolved	false	Bounded knowledge retrieval and lifecycle	candidate_extension	Source provenance is related but does not establish a knowledge-base runtime.	candidate-intake/base-experiment-contracts/MAD-SKILL-003.json	moderate	customer_provided_unverified
PAT-009	Onboarding Map	FAMILY-004	MAD-SKILL-009	50	partial	unresolved	false	Onboarding-specific orientation evidence	candidate_extension	A text decision diagram does not cover onboarding context or newcomer validation.	candidate-intake/base-experiment-contracts/MAD-SKILL-009.json	weak	customer_provided_unverified
PAT-010	Retrospective Bot	FAMILY-002	MAD-SKILL-006	55	partial	MAD-SKILL-012-candidate	false	Retrospective provenance	candidate_new_experiment	The feedback loop does not retain release-linked retrospective evidence.	candidate-intake/base-experiment-contracts/MAD-SKILL-006.json	moderate	customer_provided_unverified
PAT-011	Agent Swarm	FAMILY-005	MAD-SKILL-005	55	partial	unresolved	false	Worker topology and task evidence	candidate_extension	The control-plane proposal intentionally excludes agent execution.	candidate-intake/base-experiment-contracts/MAD-SKILL-005.json	moderate	customer_provided_unverified
PAT-012	Playwright Scout	FAMILY-006	MAD-SKILL-010	55	partial	MAD-SKILL-013-candidate	false	Browser and visual evidence gate	candidate_new_experiment	The demonstration boundary does not implement browser QA.	candidate-intake/base-experiment-contracts/MAD-SKILL-010.json	weak	customer_provided_unverified
PAT-013	Terminal Sense	FAMILY-003	MAD-SKILL-002	60	partial	unresolved	false	Terminal observation boundary	candidate_extension	A contract describes evidence but does not operate a terminal.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	moderate	customer_provided_unverified
PAT-014	CI Fixer	FAMILY-003	MAD-SKILL-002	55	partial	MAD-SKILL-014-candidate	false	Scheduled CI repair governance	candidate_new_experiment	The harness does not own scheduler or retry policy.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	moderate	customer_provided_unverified
PAT-015	Release Notes	FAMILY-002	MAD-SKILL-011	60	partial	MAD-SKILL-012-candidate	false	Release-note provenance	candidate_new_experiment	The compiler gate does not provide a release-note provenance chain.	candidate-intake/base-experiment-contracts/MAD-SKILL-011.json	moderate	customer_provided_unverified
PAT-016	Data Cleaner	FAMILY-003	MAD-SKILL-002	55	partial	MAD-SKILL-014-candidate	false	Scheduled data-action governance	candidate_new_experiment	A data action needs scheduler budgets cancellation and containment.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	moderate	customer_provided_unverified
PAT-017	Screenshot QA	FAMILY-006	MAD-SKILL-010	55	partial	MAD-SKILL-013-candidate	false	Viewport and visual-diff evidence	candidate_new_experiment	The privacy gate does not define screenshot baselines.	candidate-intake/base-experiment-contracts/MAD-SKILL-010.json	weak	customer_provided_unverified
PAT-018	Changelog Miner	FAMILY-002	MAD-SKILL-006	50	partial	MAD-SKILL-012-candidate	false	Changelog provenance	candidate_new_experiment	Feedback signals are not a changelog source model.	candidate-intake/base-experiment-contracts/MAD-SKILL-006.json	moderate	customer_provided_unverified
PAT-019	Dependency Guard	FAMILY-003	MAD-SKILL-002	55	partial	MAD-SKILL-014-candidate	false	Scheduled dependency governance	candidate_new_experiment	The harness does not schedule dependency checks.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	moderate	customer_provided_unverified
PAT-020	Nightly Runner	FAMILY-008		10	none	MAD-SKILL-014-candidate	false	Allowlist budget cancellation and circuit breaker	candidate_new_experiment	No registered experiment owns scheduler safety.	not_applicable	insufficient	customer_provided_unverified
PAT-021	Context Pack	FAMILY-004	MAD-SKILL-001	60	partial	unresolved	false	Reusable context packaging evidence	candidate_extension	A project map does not define reusable context-pack selection or expiry.	candidate-intake/base-experiment-contracts/MAD-SKILL-001.json	moderate	customer_provided_unverified
PAT-022	Repo Cartographer	FAMILY-004	MAD-SKILL-001	95	full	MAD-SKILL-001	true	No identified design gap	map_to_existing_experiment	The proposal defines a bounded project map with evidence and exclusions.	candidate-intake/base-experiment-contracts/MAD-SKILL-001.json	strong	customer_provided_unverified
PAT-023	Test Pilot	FAMILY-003	MAD-SKILL-002	90	full	MAD-SKILL-002	true	No identified design gap	map_to_existing_experiment	The proposal requires real-output acceptance evidence.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	strong	customer_provided_unverified
PAT-024	Debug Radar	FAMILY-003	MAD-SKILL-002	65	partial	unresolved	false	Diagnostic workflow evidence	candidate_extension	An output harness does not define a debugging workflow.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	moderate	customer_provided_unverified
PAT-025	Refactor Lens	FAMILY-003	MAD-SKILL-002	65	partial	unresolved	false	Refactor decision evidence	candidate_extension	The proposal does not define refactor analysis or criteria.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	moderate	customer_provided_unverified
PAT-026	API Stitcher	FAMILY-003	MAD-SKILL-002	65	partial	unresolved	false	Integration design evidence	candidate_extension	A generic contract does not define integration design.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	moderate	customer_provided_unverified
PAT-027	Migration Buddy	FAMILY-003	MAD-SKILL-002	65	partial	unresolved	false	Migration planning and compatibility evidence	candidate_extension	The proposal does not define migration sequencing.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	moderate	customer_provided_unverified
PAT-028	Docs Whisperer	FAMILY-002	MAD-SKILL-011	60	partial	MAD-SKILL-012-candidate	false	Document provenance	candidate_new_experiment	The compiler gate does not provide stale-document provenance.	candidate-intake/base-experiment-contracts/MAD-SKILL-011.json	moderate	customer_provided_unverified
PAT-029	Prompt Harness	FAMILY-003	MAD-SKILL-002	90	full	MAD-SKILL-002	true	No identified design gap	map_to_existing_experiment	Prompt claims fit the baseline and output evidence contract.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	strong	customer_provided_unverified
PAT-030	Ship Checklist	FAMILY-003	MAD-SKILL-002	65	partial	unresolved	false	Release readiness decision evidence	candidate_extension	A release checklist needs a disposition model beyond acceptance checks.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	moderate	customer_provided_unverified
PAT-031	Planning with Files	FAMILY-004	MAD-SKILL-003	60	partial	unresolved	false	Planning-file lifecycle evidence	candidate_extension	Source provenance does not define a planning-file lifecycle.	candidate-intake/base-experiment-contracts/MAD-SKILL-003.json	moderate	verification_blocked
PAT-032	Superpowers	FAMILY-001	MAD-SKILL-008	75	full	MAD-SKILL-008	true	No identified design gap	map_to_existing_experiment	Routing and progressive disclosure are explicit; source claims remain unverified.	candidate-intake/base-experiment-contracts/MAD-SKILL-008.json	strong	verification_blocked
